,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Family_Size,Alone,Has_Cabin
47,939,3,1,1.0,0,0,0,2,0,0,1,0
48,940,1,0,3.0,0,0,3,1,2,0,1,1
49,941,3,0,2.0,0,2,2,0,2,2,0,0
50,942,1,1,1.0,1,0,3,0,0,1,0,1
51,943,2,1,1.0,0,0,2,1,0,0,1,0
52,944,2,0,1.0,2,1,2,0,1,3,0,0
53,945,1,0,1.0,3,2,3,0,1,5,0,1
54,946,2,1,1.0,0,0,2,1,0,0,1,0
55,947,3,1,0.0,4,1,2,2,3,5,0,0
56,948,3,1,2.0,0,0,0,0,0,0,1,0
57,949,3,1,1.0,0,0,0,0,0,0,1,1
58,950,3,1,1.0,1,0,2,0,0,1,0,0
59,951,1,0,2.0,0,0,3,1,1,0,1,1
60,952,3,1,1.0,0,0,0,0,0,0,1,0
61,953,2,1,1.0,0,0,1,0,0,0,1,0
62,954,3,1,1.0,0,0,0,0,0,0,1,0
63,955,3,0,1.0,0,0,0,2,1,0,1,0
64,956,1,1,0.0,2,2,3,1,3,4,0,1
65,957,2,0,2.0,0,0,2,0,2,0,1,0
66,958,3,0,1.0,0,0,0,2,1,0,1,0
67,959,1,1,2.0,0,0,3,0,0,0,1,0
68,960,1,1,1.0,0,0,2,1,0,0,1,1
69,961,1,0,3.0,1,4,3,0,2,5,0,1
70,962,3,0,1.0,0,0,0,2,1,0,1,0
71,963,3,1,1.0,0,0,0,0,0,0,1,0
72,964,3,0,1.0,0,0,1,0,1,0,1,0
73,965,1,1,1.0,0,0,2,1,0,0,1,1
74,966,1,0,2.0,0,0,3,1,1,0,1,1
75,967,1,1,2.0,0,0,3,1,0,0,1,1
76,968,3,1,1.0,0,0,1,0,0,0,1,0
77,969,1,0,3.0,2,0,2,0,2,2,0,1
78,970,2,1,1.0,0,0,1,0,0,0,1,0
79,971,3,0,1.0,0,0,0,2,1,0,1,0
80,972,3,1,0.0,1,1,2,1,3,2,0,0
81,973,1,1,4.0,1,0,3,0,0,1,0,1
82,974,1,1,3.0,0,0,2,0,0,0,1,0
83,975,3,1,1.0,0,0,0,0,0,0,1,0
84,976,2,1,1.0,0,0,1,2,0,0,1,0
85,977,3,1,1.0,1,0,2,1,0,1,0,0
86,978,3,0,1.0,0,0,0,2,1,0,1,0
87,979,3,0,1.0,0,0,1,0,1,0,1,0
88,980,3,0,1.0,0,0,0,2,1,0,1,0
89,981,2,1,0.0,1,1,2,0,3,2,0,0
90,982,3,0,1.0,1,0,1,0,2,1,0,0
91,983,3,1,1.0,0,0,0,0,0,0,1,0
92,984,1,0,1.0,1,2,3,0,2,3,0,1
93,985,3,1,1.0,0,0,1,0,0,0,1,0
94,986,1,1,1.0,0,0,2,1,0,0,1,0
95,987,3,1,1.0,0,0,0,0,0,0,1,0
96,988,1,0,4.0,1,0,3,0,2,1,0,1
97,989,3,1,1.0,0,0,1,0,0,0,1,0
98,990,3,0,1.0,0,0,0,0,1,0,1,0
99,991,3,1,2.0,0,0,1,0,0,0,1,0
100,992,1,0,2.0,1,0,3,1,2,1,0,1
101,993,2,1,1.0,1,0,2,0,0,1,0,0
102,994,3,1,1.0,0,0,0,2,0,0,1,0
103,995,3,1,1.0,0,0,0,0,0,0,1,0
104,996,3,0,0.0,1,1,1,1,2,2,0,0
105,997,3,1,1.0,0,0,2,0,0,0,1,0
106,998,3,1,1.0,0,0,0,2,0,0,1,0
107,999,3,1,1.0,0,0,0,2,0,0,1,0
108,1000,3,1,1.0,0,0,1,0,0,0,1,0
109,1001,2,1,1.0,0,0,1,0,0,0,1,1
110,1002,2,1,2.0,0,0,2,1,0,0,1,0
111,1003,3,0,1.0,0,0,0,2,1,0,1,0
112,1004,1,0,2.0,0,0,3,1,1,0,1,1
113,1005,3,0,1.0,0,0,0,2,1,0,1,0
114,1006,1,0,3.0,1,0,3,0,2,1,0,1
115,1007,3,1,1.0,1,0,2,1,0,1,0,0
116,1008,3,1,1.0,0,0,0,1,0,0,1,0
117,1009,3,0,0.0,1,1,2,0,1,2,0,1
118,1010,1,1,2.0,0,0,3,1,0,0,1,1
119,1011,2,0,1.0,1,0,2,0,2,1,0,0
120,1012,2,0,0.0,0,0,2,0,1,0,1,0
121,1013,3,1,1.0,1,0,0,2,0,1,0,0
122,1014,1,0,2.0,1,0,3,1,2,1,0,1
123,1015,3,1,1.0,0,0,0,0,0,0,1,0
124,1016,3,1,1.0,0,0,0,2,0,0,1,0
125,1017,3,0,1.0,0,1,2,0,1,1,0,0
126,1018,3,1,1.0,0,0,0,0,0,0,1,0
127,1019,3,0,1.0,2,0,2,2,1,2,0,0
128,1020,2,1,2.0,0,0,1,0,0,0,1,0
129,1021,3,1,1.0,0,0,1,0,0,0,1,0
130,1022,3,1,1.0,0,0,1,0,0,0,1,0
131,1023,1,1,3.0,0,0,2,1,4,0,1,1
132,1024,3,0,2.0,0,4,2,0,2,4,0,0
133,1025,3,1,1.0,1,0,0,1,0,1,0,0
134,1026,3,1,2.0,0,0,0,0,0,0,1,0
135,1027,3,1,1.0,0,0,0,0,0,0,1,0
136,1028,3,1,1.0,0,0,0,1,0,0,1,0
137,1029,2,1,1.0,0,0,1,0,0,0,1,0
138,1030,3,0,1.0,0,0,1,0,1,0,1,0
139,1031,3,1,2.0,1,6,3,0,0,7,0,0
140,1032,3,0,0.0,5,2,3,0,1,7,0,0
141,1033,1,0,2.0,0,0,3,0,1,0,1,0
142,1034,1,1,3.0,1,3,3,1,0,4,0,1
143,1035,2,1,1.0,0,0,2,0,0,0,1,0
144,1036,1,1,2.0,0,0,2,0,0,0,1,0
145,1037,3,1,1.0,3,0,2,0,0,3,0,0
146,1038,1,1,1.0,0,0,3,0,0,0,1,1
147,1039,3,1,1.0,0,0,1,0,0,0,1,0
148,1040,1,1,1.0,0,0,2,0,0,0,1,0
149,1041,2,1,1.0,1,1,2,0,4,2,0,0
150,1042,1,0,1.0,0,1,3,1,2,1,0,1
151,1043,3,1,1.0,0,0,0,1,0,0,1,0
152,1044,3,1,3.0,0,0,3,0,0,0,1,0
153,1045,3,0,2.0,0,2,1,0,2,2,0,0
154,1046,3,1,0.0,4,2,3,0,3,6,0,0
155,1047,3,1,1.0,0,0,0,0,0,0,1,0
156,1048,1,0,1.0,0,0,3,0,1,0,1,1
157,1049,3,0,1.0,0,0,0,0,1,0,1,0
158,1050,1,1,2.0,0,0,2,0,0,0,1,1
159,1051,3,0,1.0,0,2,1,0,2,2,0,0
160,1052,3,0,1.0,0,0,0,2,1,0,1,0
161,1053,3,1,0.0,1,1,2,1,3,2,0,0
162,1054,2,0,1.0,0,0,1,0,1,0,1,0
163,1055,3,1,1.0,0,0,0,0,0,0,1,0
164,1056,2,1,2.0,0,0,1,0,4,0,1,0
165,1057,3,0,1.0,1,1,2,0,2,2,0,0
166,1058,1,1,2.0,0,0,3,1,0,0,1,1
167,1059,3,1,1.0,2,2,3,0,0,4,0,0
168,1060,1,0,2.0,0,0,2,1,2,0,1,0
169,1061,3,0,1.0,0,0,1,0,1,0,1,0
170,1062,3,1,1.0,0,0,0,0,0,0,1,0
171,1063,3,1,1.0,0,0,0,1,0,0,1,0
172,1064,3,1,1.0,1,0,1,0,0,1,0,0
173,1065,3,1,1.0,0,0,0,1,0,0,1,0
174,1066,3,1,2.0,1,5,3,0,0,6,0,0
175,1067,2,0,0.0,0,2,3,0,1,2,0,0
176,1068,2,0,1.0,0,0,3,0,1,0,1,0
177,1069,1,1,3.0,1,0,3,1,0,1,0,1
178,1070,2,0,2.0,0,3,3,0,2,3,0,1
179,1071,1,0,3.0,0,2,3,1,2,2,0,1
180,1072,2,1,1.0,0,0,1,0,0,0,1,0
181,1073,1,1,2.0,1,1,3,1,0,2,0,1
182,1074,1,0,1.0,1,0,3,0,2,1,0,1
183,1075,3,1,1.0,0,0,0,2,0,0,1,0
184,1076,1,0,1.0,1,1,3,1,2,2,0,1
185,1077,2,1,2.0,0,0,2,0,0,0,1,0
186,1078,2,0,1.0,0,1,2,0,1,1,0,0
187,1079,3,1,1.0,2,0,1,0,0,2,0,0
188,1080,3,0,1.0,8,2,3,0,1,10,0,0
189,1081,2,1,2.0,0,0,1,0,0,0,1,0
190,1082,2,1,2.0,1,0,2,0,0,1,0,0
191,1083,1,1,1.0,0,0,2,0,0,0,1,0
192,1084,3,1,0.0,1,1,2,0,3,2,0,0
193,1085,2,1,3.0,0,0,1,2,0,0,1,0
194,1086,2,1,0.0,0,2,3,0,3,2,0,0
195,1087,3,1,2.0,0,0,0,0,0,0,1,0
196,1088,1,1,0.0,0,2,3,1,3,2,0,1
197,1089,3,0,1.0,0,0,0,0,1,0,1,0
198,1090,2,1,1.0,0,0,1,0,0,0,1,0
199,1091,3,0,2.0,0,0,1,0,2,0,1,0
200,1092,3,0,1.0,0,0,2,2,1,0,1,0
201,1093,3,1,0.0,0,2,1,0,3,2,0,0
202,1094,1,1,2.0,1,0,3,1,4,1,0,1
203,1095,2,0,0.0,1,1,2,0,1,2,0,0
204,1096,2,1,1.0,0,0,1,0,0,0,1,0
205,1097,1,1,1.0,0,0,2,1,0,0,1,0
206,1098,3,0,2.0,0,0,0,2,1,0,1,0
207,1099,2,1,1.0,0,0,1,0,0,0,1,0
208,1100,1,0,2.0,0,0,2,1,1,0,1,1
209,1101,3,1,1.0,0,0,0,0,0,0,1,0
210,1102,3,1,1.0,0,0,2,0,0,0,1,0
211,1103,3,1,1.0,0,0,0,0,0,0,1,0
212,1104,2,1,1.0,0,0,3,0,0,0,1,0
213,1105,2,0,3.0,1,0,2,0,2,1,0,0
214,1106,3,0,2.0,4,2,0,0,1,6,0,0
215,1107,1,1,2.0,0,0,3,0,0,0,1,1
216,1108,3,0,1.0,0,0,0,2,1,0,1,0
217,1109,1,1,3.0,1,1,3,0,0,2,0,0
218,1110,1,0,3.0,1,1,3,1,2,2,0,1
219,1111,3,1,1.0,0,0,1,0,0,0,1,0
220,1112,2,0,1.0,1,0,1,1,1,1,0,0
221,1113,3,1,1.0,0,0,1,0,0,0,1,0
222,1114,2,0,1.0,0,0,1,0,2,0,1,1
223,1115,3,1,1.0,0,0,0,0,0,0,1,0
224,1116,1,0,3.0,0,0,2,1,2,0,1,0
225,1117,3,0,2.0,0,2,2,1,2,2,0,0
226,1118,3,1,1.0,0,0,0,0,0,0,1,0
227,1119,3,0,1.0,0,0,0,2,1,0,1,0
228,1120,3,1,2.0,0,0,2,0,0,0,1,0
229,1121,2,1,2.0,0,0,1,0,0,0,1,0
230,1122,2,1,0.0,0,0,3,0,0,0,1,0
231,1123,1,0,1.0,0,0,2,0,1,0,1,0
232,1124,3,1,1.0,1,0,0,0,0,1,0,0
233,1125,3,1,1.0,0,0,0,2,0,0,1,0
234,1126,1,1,2.0,1,0,3,1,0,1,0,1
235,1127,3,1,1.0,0,0,0,0,0,0,1,0
236,1128,1,1,3.0,1,0,3,1,0,1,0,1
237,1129,3,1,1.0,0,0,0,1,0,0,1,0
238,1130,2,0,1.0,1,1,1,0,1,2,0,0
239,1131,1,0,2.0,1,0,3,1,2,1,0,1
240,1132,1,0,3.0,0,0,2,1,2,0,1,0
241,1133,2,0,2.0,0,2,2,0,2,2,0,0
242,1134,1,1,2.0,1,1,3,1,0,2,0,1
243,1135,3,1,1.0,0,0,0,0,0,0,1,0
244,1136,3,1,0.0,1,2,2,0,3,3,0,0
245,1137,1,1,2.0,1,0,3,0,0,1,0,1
246,1138,2,0,1.0,0,0,2,0,2,0,1,0
247,1139,2,1,2.0,1,1,3,0,0,2,0,0
248,1140,2,0,1.0,1,0,2,0,2,1,0,0
249,1141,3,0,2.0,1,0,2,1,2,1,0,0
250,1142,2,0,0.0,1,2,2,0,1,3,0,0
251,1143,3,1,1.0,0,0,1,0,0,0,1,0
252,1144,1,1,1.0,1,0,3,1,0,1,0,1
253,1145,3,1,1.0,0,0,1,0,0,0,1,0
254,1146,3,1,2.0,0,0,1,0,0,0,1,0
255,1147,3,1,1.0,0,0,0,0,0,0,1,0
256,1148,3,1,1.0,0,0,0,2,0,0,1,0
257,1149,3,1,1.0,0,0,1,0,0,0,1,0
258,1150,2,0,1.0,0,0,1,0,1,0,1,0
259,1151,3,1,1.0,0,0,0,0,0,0,1,0
260,1152,3,1,2.0,1,0,2,0,0,1,0,0
261,1153,3,1,1.0,0,0,0,0,0,0,1,0
262,1154,2,0,1.0,0,2,2,0,2,2,0,0
263,1155,3,0,0.0,1,1,1,0,1,2,0,0
264,1156,2,1,1.0,0,0,1,1,0,0,1,0
265,1157,3,1,1.0,0,0,0,0,0,0,1,0
266,1158,1,1,1.0,0,0,0,0,0,0,1,0
267,1159,3,1,1.0,0,0,0,0,0,0,1,0
268,1160,3,0,1.0,0,0,1,0,1,0,1,0
269,1161,3,1,1.0,0,0,1,0,0,0,1,0
270,1162,1,1,2.0,0,0,3,1,0,0,1,1
271,1163,3,1,1.0,0,0,0,2,0,0,1,0
272,1164,1,0,1.0,1,0,3,1,2,1,0,1
273,1165,3,0,1.0,1,0,2,2,1,1,0,0
274,1166,3,1,1.0,0,0,0,1,0,0,1,0
275,1167,2,0,1.0,1,0,2,0,1,1,0,0
276,1168,2,1,1.0,0,0,1,0,0,0,1,0
277,1169,2,1,2.0,1,0,2,0,0,1,0,0
278,1170,2,1,1.0,1,0,2,0,0,1,0,0
279,1171,2,1,1.0,0,0,1,0,0,0,1,0
280,1172,3,0,1.0,0,0,1,0,1,0,1,0
281,1173,3,1,0.0,1,1,1,0,3,2,0,0
282,1174,3,0,1.0,0,0,0,2,1,0,1,0
283,1175,3,0,0.0,1,1,2,1,1,2,0,0
284,1176,3,0,0.0,1,1,2,0,1,2,0,0
285,1177,3,1,2.0,0,0,0,0,0,0,1,0
286,1178,3,1,1.0,0,0,0,0,0,0,1,0
287,1179,1,1,1.0,1,0,3,0,0,1,0,1
288,1180,3,1,1.0,0,0,0,1,0,0,1,1
289,1181,3,1,1.0,0,0,1,0,0,0,1,0
290,1182,1,1,1.0,0,0,3,0,0,0,1,0
291,1183,3,0,1.0,0,0,0,2,1,0,1,0
292,1184,3,1,1.0,0,0,0,1,0,0,1,0
293,1185,1,1,3.0,1,1,3,0,4,2,0,1
294,1186,3,1,2.0,0,0,1,0,0,0,1,0
295,1187,3,1,1.0,0,0,0,0,0,0,1,0
296,1188,2,0,0.0,1,2,3,1,1,3,0,0
297,1189,3,1,1.0,2,0,2,1,0,2,0,0
298,1190,1,1,1.0,0,0,3,0,0,0,1,0
299,1191,3,1,1.0,0,0,0,0,0,0,1,0
300,1192,3,1,1.0,0,0,0,0,0,0,1,0
301,1193,2,1,1.0,0,0,2,1,0,0,1,1
302,1194,2,1,2.0,0,1,2,0,0,1,0,0
303,1195,3,1,1.0,0,0,1,0,0,0,1,0
304,1196,3,0,1.0,0,0,0,2,1,0,1,0
305,1197,1,0,3.0,1,1,2,0,2,2,0,1
306,1198,1,1,1.0,1,2,3,0,0,3,0,1
307,1199,3,1,0.0,0,1,1,0,3,1,0,0
308,1200,1,1,3.0,1,1,3,0,0,2,0,1
309,1201,3,0,2.0,1,0,1,0,2,1,0,0
310,1202,3,1,1.0,0,0,1,0,0,0,1,0
311,1203,3,1,1.0,0,0,0,1,0,0,1,0
312,1204,3,1,1.0,0,0,0,0,0,0,1,0
313,1205,3,0,2.0,0,0,0,2,1,0,1,0
314,1206,1,0,3.0,0,0,3,1,2,0,1,1
315,1207,3,0,1.0,0,0,0,2,1,0,1,0
316,1208,1,1,3.0,1,0,3,1,0,1,0,1
317,1209,2,1,1.0,0,0,1,0,0,0,1,0
318,1210,3,1,1.0,0,0,0,0,0,0,1,0
319,1211,2,1,1.0,2,0,3,0,0,2,0,0
320,1212,3,1,1.0,0,0,0,0,0,0,1,0
321,1213,3,1,1.0,0,0,0,1,0,0,1,1
322,1214,2,1,1.0,0,0,1,0,0,0,1,1
323,1215,1,1,2.0,0,0,2,0,0,0,1,0
324,1216,1,0,2.0,0,0,3,0,1,0,1,0
325,1217,3,1,1.0,0,0,0,0,0,0,1,0
326,1218,2,0,0.0,2,1,3,0,1,3,0,1
327,1219,1,1,2.0,0,0,3,1,0,0,1,0
328,1220,2,1,1.0,1,0,2,0,0,1,0,0
329,1221,2,1,1.0,0,0,1,0,0,0,1,0
330,1222,2,0,2.0,0,2,3,0,2,2,0,0
331,1223,1,1,2.0,0,0,2,1,0,0,1,1
332,1224,3,1,1.0,0,0,0,1,0,0,1,0
333,1225,3,0,1.0,1,1,2,1,2,2,0,0
334,1226,3,1,1.0,0,0,0,0,0,0,1,0
335,1227,1,1,1.0,0,0,2,0,0,0,1,1
336,1228,2,1,1.0,0,0,1,0,0,0,1,0
337,1229,3,1,2.0,0,2,0,1,0,2,0,0
338,1230,2,1,1.0,0,0,3,0,0,0,1,0
339,1231,3,1,0.0,0,0,0,1,3,0,1,0
340,1232,2,1,1.0,0,0,1,0,0,0,1,0
341,1233,3,1,1.0,0,0,0,0,0,0,1,0
342,1234,3,1,1.0,1,9,3,0,0,10,0,0
343,1235,1,0,3.0,0,1,3,1,2,1,0,1
344,1236,3,1,0.0,1,1,2,0,3,2,0,0
345,1237,3,0,0.0,0,0,0,0,1,0,1,0
346,1238,2,1,1.0,0,0,1,0,0,0,1,0
347,1239,3,0,2.0,0,0,0,1,2,0,1,0
348,1240,2,1,1.0,0,0,1,0,0,0,1,0
349,1241,2,0,1.0,0,0,2,0,1,0,1,0
350,1242,1,0,2.0,0,1,3,1,2,1,0,1
351,1243,2,1,1.0,0,0,1,0,0,0,1,0
352,1244,2,1,1.0,0,0,3,0,0,0,1,0
353,1245,2,1,3.0,1,2,3,0,0,3,0,0
354,1246,3,0,0.0,1,2,2,0,1,3,0,0
355,1247,1,1,3.0,0,0,2,0,0,0,1,1
356,1248,1,0,3.0,2,0,3,0,2,2,0,1
357,1249,3,1,1.0,0,0,0,0,0,0,1,0
358,1250,3,1,1.0,0,0,0,2,0,0,1,0
359,1251,3,0,1.0,1,0,2,0,2,1,0,0
360,1252,3,1,0.0,8,2,3,0,3,10,0,0
361,1253,2,0,1.0,1,1,3,1,2,2,0,0
362,1254,2,0,1.0,0,0,2,0,2,0,1,0
363,1255,3,1,1.0,0,0,1,0,0,0,1,0
364,1256,1,0,1.0,1,0,3,1,2,1,0,1
365,1257,3,0,2.0,1,9,3,0,2,10,0,0
366,1258,3,1,1.0,1,0,2,1,0,1,0,0
367,1259,3,0,1.0,0,0,3,0,1,0,1,0
368,1260,1,0,2.0,0,1,3,1,2,1,0,0
369,1261,2,1,1.0,0,0,1,1,0,0,1,0
370,1262,2,1,1.0,1,0,1,0,0,1,0,0
371,1263,1,0,1.0,0,0,3,1,1,0,1,1
372,1264,1,1,3.0,0,0,0,0,0,0,1,1
373,1265,2,1,2.0,0,0,1,0,0,0,1,0
374,1266,1,0,3.0,1,1,3,0,2,2,0,1
375,1267,1,0,2.0,0,0,3,1,1,0,1,0
376,1268,3,0,1.0,2,0,1,0,1,2,0,0
377,1269,2,1,1.0,0,0,1,0,0,0,1,0
378,1270,1,1,3.0,0,0,3,0,0,0,1,1
379,1271,3,1,0.0,4,2,3,0,3,6,0,0
380,1272,3,1,1.0,0,0,0,2,0,0,1,0
381,1273,3,1,1.0,0,0,0,2,0,0,1,0
382,1274,3,0,2.0,0,0,2,0,2,0,1,0
383,1275,3,0,1.0,1,0,2,0,2,1,0,0
384,1276,2,1,1.0,0,0,1,0,0,0,1,0
385,1277,2,0,1.0,1,2,3,0,1,3,0,0
386,1278,3,1,1.0,0,0,0,0,0,0,1,0
387,1279,2,1,3.0,0,0,1,0,0,0,1,0
388,1280,3,1,1.0,0,0,0,2,0,0,1,0
389,1281,3,1,0.0,3,1,2,0,3,4,0,0
390,1282,1,1,1.0,0,0,3,0,0,0,1,1
391,1283,1,0,3.0,0,1,3,0,2,1,0,1
392,1284,3,1,0.0,0,2,2,0,3,2,0,0
393,1285,2,1,2.0,0,0,1,0,0,0,1,0
394,1286,3,1,1.0,3,1,2,0,0,4,0,0
395,1287,1,0,1.0,1,0,3,0,2,1,0,1
396,1288,3,1,1.0,0,0,0,2,0,0,1,0
397,1289,1,0,2.0,1,1,3,1,2,2,0,1
398,1290,3,1,1.0,0,0,0,0,0,0,1,0
399,1291,3,1,1.0,0,0,0,2,0,0,1,0
400,1292,1,0,1.0,0,0,3,0,1,0,1,1
401,1293,2,1,2.0,1,0,2,0,0,1,0,0
402,1294,1,0,1.0,0,1,3,1,1,1,0,0
403,1295,1,1,1.0,0,0,3,0,0,0,1,0
404,1296,1,1,2.0,1,0,2,1,0,1,0,1
405,1297,2,1,1.0,0,0,1,1,0,0,1,1
406,1298,2,1,1.0,1,0,1,0,0,1,0,0
407,1299,1,1,3.0,1,1,3,1,0,2,0,1
408,1300,3,0,1.0,0,0,0,2,1,0,1,0
409,1301,3,0,0.0,1,1,1,0,1,2,0,0
410,1302,3,0,1.0,0,0,0,2,1,0,1,0
411,1303,1,0,2.0,1,0,3,2,2,1,0,1
412,1304,3,0,1.0,0,0,0,0,1,0,1,0
413,1305,3,1,1.0,0,0,1,0,0,0,1,0
414,1306,1,0,2.0,0,0,3,1,4,0,1,1
415,1307,3,1,2.0,0,0,0,0,0,0,1,0
416,1308,3,1,1.0,0,0,1,0,0,0,1,0
417,1309,3,1,0.0,1,1,2,1,3,2,0,0
